"","action","dataset","accuracy","reward","total_reward","loss","iteration","mu","sigma","ucb_reward","controller","random"
"15","24-32-9-64-1-8-24-64","cifar10","0.1","-0.1","-0.34091978502963205","0.5686320066452026","15","0.01465017069131136","0.6959438920021057","2.3272516843273356","gaussian","1"
"16","12-8-12-32-24-8-12-16","cifar10","0.5662","0.1","-0.24091978502963204","0.5861952304840088","16","0.07175222039222717","0.699696958065033","2.3548200450309493","gaussian","1"
"17","3-32-12-16-12-8-6-4","cifar10","0.513","0.09916350574179389","-0.14175627928783816","0.5712952017784119","17","0.0554279126226902","0.6954024434089661","2.380425736735434","gaussian","1"
"18","9-2-6-2-9-8-6-64","cifar10","0.433","-0.0006691954065649042","-0.14242547469440306","0.569046139717102","18","0.04131598770618439","0.6928128600120544","2.4043176819614187","gaussian","1"
"19","3-4-6-16-3-4-1-8","cifar10","0.3618","-0.07173535632525196","-0.21416083101965502","0.5861952304840088","19","0.07175222039222717","0.699696958065033","2.426701044284788","gaussian","1"
"20","12-4-24-4-24-64-3-8","cifar10","0.5067","0.08751171493979848","-0.12664911607985654","0.5822150707244873","20","-0.04268717020750046","0.6956740021705627","2.4477468306808166","gaussian","0"
"21","9-8-6-32-1-4-24-64","cifar10","0.533","0.09630937195183875","-0.030339744128017793","0.6309437155723572","21","0.06763004511594772","0.6957534551620483","2.467599010262171","gaussian","1"
"22","24-16-3-32-6-2-12-64","cifar10","0.4951","0.039147497561470956","0.008807753433453164","0.6886065006256104","22","-0.30388325452804565","0.6998885869979858","2.48637987980852","gaussian","0"
"23","12-2-3-8-1-32-9-64","cifar10","0.4925","0.028717998049176796","0.03752575148262996","0.6342628002166748","23","-0.06260308623313904","0.7015564441680908","2.504194168162345","gaussian","1"
"24","12-4-9-64-9-16-9-2","cifar10","0.392","-0.07752560156065852","-0.03999985007802856","0.6266590356826782","24","-0.13938331604003906","0.6977408528327942","2.5211322180115605","gaussian","1"
"25","1-4-1-32-12-16-9-2","cifar10","0.3288","-0.1","-0.13999985007802856","0.6070048213005066","25","0.00856938399374485","0.6972236633300781","2.537272482359039","gaussian","0"
"26","9-4-9-64-6-16-12-64","cifar10","0.5652","0.1","-0.03999985007802856","0.7459920048713684","26","0.269267201423645","0.6980865001678467","2.552683504871484","gaussian","1"
"27","1-8-3-8-9-8-1-16","cifar10","0.4441","-0.01212110799905719","-0.05212095807708575","0.6221687197685242","27","-0.17501305043697357","0.6993176341056824","2.567425506613319","gaussian","0"
"28","24-8-3-64-3-64-12-8","cifar10","0.4799","0.026103113600754235","-0.026017844476331514","0.6777848601341248","28","-0.1316157579421997","0.703066885471344","2.5815516691227405","gaussian","1"
"29","1-2-9-4-6-16-12-8","cifar10","0.3504","-0.1","-0.12601784447633152","0.6098012328147888","29","-0.04754817113280296","0.7013587951660156","2.5951091807422957","gaussian","1"
