,action,dataset,accuracy,reward,total_reward,loss,iteration,mu,sigma,ucb_reward,controller,random
34,1-16-1-8-6-4-6-8,cifar10,0.3638,0.016236024619751266,-0.010913864530197437,0.6791006922721863,34.0,0.04544175788760185,0.7030957341194153,2.6556959632518784,gaussian,0.0
35,6-8-9-64-1-16-6-32,cifar10,0.543,0.1,0.08908613546980257,1.0287554264068604,35.0,0.07460145652294159,0.7252606749534607,2.666588855256623,gaussian,1.0
36,12-32-24-32-12-4-24-8,cifar10,0.1,-0.1,-0.010913864530197437,0.7748955488204956,36.0,-0.15335041284561157,0.7133789658546448,2.677132398091701,gaussian,0.0
37,12-2-12-64-6-4-1-4,cifar10,0.3098,-0.021599155394687375,-0.03251301992488481,0.8489778637886047,37.0,-0.04180300608277321,0.7264901399612427,2.687347358509586,gaussian,1.0
38,12-32-12-64-24-8-6-16,cifar10,0.5412,0.1,0.0674869800751152,0.7944687604904175,38.0,0.07974768429994583,0.7112501263618469,2.697252735553858,gaussian,0.0
39,12-64-6-4-3-64-9-2,cifar10,0.2129,-0.1,-0.03251301992488481,0.7199140787124634,39.0,0.021870091557502747,0.7076213359832764,2.7068659538771573,gaussian,1.0
40,9-16-6-2-12-2-9-2,cifar10,0.3029,-0.03560276756207997,-0.06811578748696479,0.8340886235237122,40.0,-0.0912107601761818,0.7053167819976807,2.716203031481239,gaussian,0.0
41,12-2-3-8-9-4-24-16,cifar10,0.4308,0.09941778595033607,0.03130199846337128,0.9098564386367798,41.0,0.11074694246053696,0.7155487537384033,2.725278725820281,gaussian,1.0
42,9-8-24-2-3-64-1-64,cifar10,0.4578,0.1,0.1313019984633713,0.9098564386367798,42.0,0.11074694246053696,0.7155487537384033,2.734106661519762,gaussian,0.0
43,3-64-6-16-6-32-12-64,cifar10,0.6592,0.1,0.2313019984633713,0.726852297782898,43.0,-0.11037570983171463,0.7153759002685547,2.7426994424083593,gaussian,0.0
44,12-32-1-4-24-2-1-4,cifar10,0.3313,-0.09859809359342792,0.13270390486994338,0.9299342632293701,44.0,0.2826380133628845,0.7101592421531677,2.751068750110859,gaussian,1.0
45,6-32-3-32-3-4-12-8,cifar10,0.4919,0.08172152512525765,0.21442542999520103,0.6942095160484314,45.0,0.1376197636127472,0.7004236578941345,2.7592254310839914,gaussian,0.0
46,3-32-12-2-1-4-12-4,cifar10,0.1,-0.1,0.11442542999520103,0.8763652443885803,46.0,-0.04658715799450874,0.708935022354126,2.767179573677536,gaussian,0.0
47,12-8-9-2-6-2-12-64,cifar10,0.4607,0.09948177608016484,0.21390720607536587,0.6859843134880066,47.0,0.0070341527462005615,0.7078621983528137,2.7749405765565713,gaussian,1.0
48,12-16-6-32-12-8-24-16,cifar10,0.5697,0.1,0.3139072060753659,0.8504507541656494,48.0,-0.08870857208967209,0.7212279438972473,2.782517209617181,gaussian,0.0
49,24-16-12-16-6-32-24-2,cifar10,0.1,-0.1,0.21390720607536587,2.027583599090576,49.0,0.24818632006645203,0.719052791595459,2.7899176683589166,gaussian,0.0
50,24-16-6-32-3-2-6-16,cifar10,0.1,-0.1,0.11390720607536586,0.6535505652427673,50.0,0.049188122153282166,0.6994892358779907,2.797149622536537,gaussian,0.0
51,1-64-1-32-24-2-12-2,cifar10,0.3033,-0.0007522645175645493,0.11315494155780131,0.6772916913032532,51.0,-0.1287425011396408,0.7133406400680542,2.804220259795698,gaussian,1.0
52,12-8-1-64-1-8-3-32,cifar10,0.3842,0.08029818838594832,0.19345312994374964,0.7450882792472839,52.0,0.08179360628128052,0.7157511115074158,2.811136324898324,gaussian,1.0
53,9-16-12-4-3-2-12-16,cifar10,0.4792,0.1,0.2934531299437496,0.9753760099411011,53.0,0.146908700466156,0.7192530632019043,2.81790415505997,gaussian,0.0
54,3-4-12-2-9-2-3-2,cifar10,0.272,-0.07980915943299305,0.21364397051075656,1.3465502262115479,54.0,0.07105212658643723,0.7344509959220886,2.8245297118509036,gaussian,1.0
55,6-2-1-64-9-8-1-2,cifar10,0.1728,-0.1,0.11364397051075656,2.207472562789917,55.0,0.2016964554786682,0.7208430171012878,2.831018610052739,gaussian,1.0
56,9-8-12-2-9-8-12-16,cifar10,0.459,0.1,0.21364397051075656,0.9753760099411011,56.0,0.146908700466156,0.7192530632019043,2.837376143811444,gaussian,0.0
57,6-64-9-32-6-2-12-16,cifar10,0.1,-0.1,0.11364397051075656,0.7895159125328064,57.0,0.002544758841395378,0.7230360507965088,2.8436073103839603,gaussian,1.0
58,24-2-1-4-24-32-6-32,cifar10,0.1,-0.1,0.013643970510756553,0.8449223041534424,58.0,0.2529726028442383,0.7101723551750183,2.849716831738346,gaussian,1.0
59,12-32-6-4-24-8-12-2,cifar10,0.1,-0.1,-0.08635602948924345,2.207472562789917,59.0,0.2016964554786682,0.7208430171012878,2.8557091742352614,gaussian,1.0
60,24-16-1-64-12-4-24-8,cifar10,0.1,-0.1,-0.18635602948924346,0.8799870014190674,60.0,-0.08397311717271805,0.7101956605911255,2.8615885665909766,gaussian,0.0
61,6-8-3-32-3-2-1-16,cifar10,0.3089,0.1,-0.08635602948924345,0.6300707459449768,61.0,-0.10418955981731415,0.7018865942955017,2.867359016298207,gaussian,0.0
62,3-64-6-16-3-2-12-64,cifar10,0.5136,0.1,0.013643970510756553,0.8810758590698242,62.0,-0.5872344374656677,0.7059344053268433,2.8730243246603715,gaussian,0.0
63,3-32-12-64-3-4-24-4,cifar10,0.5591,0.1,0.11364397051075656,0.885990560054779,63.0,-0.15133431553840637,0.707966685295105,2.8785881005769243,gaussian,0.0
64,6-32-12-64-24-2-3-2,cifar10,0.1,-0.1,0.013643970510756553,0.7134170532226562,64.0,-0.31366533041000366,0.7104639410972595,2.884053773201766,gaussian,0.0
65,12-32-9-64-24-8-6-8,cifar10,0.5686,0.1,0.11364397051075656,0.7375489473342896,65.0,0.052279748022556305,0.7062437534332275,2.889424603583086,gaussian,0.0
66,3-4-12-64-3-32-12-32,cifar10,0.5771,0.1,0.21364397051075656,0.7822021245956421,66.0,-0.024629317224025726,0.7123354077339172,2.8947036953810747,gaussian,1.0
67,12-8-24-16-6-64-3-64,cifar10,0.5415,0.1,0.31364397051075654,0.8956587314605713,67.0,0.12393645197153091,0.715715765953064,2.899894004749472,gaussian,1.0
68,24-4-12-32-12-2-6-64,cifar10,0.422,0.0015816895108101137,0.31522566002156666,0.9347578287124634,68.0,-0.039670273661613464,0.7315654754638672,2.9049983494577436,gaussian,0.0
69,1-16-3-16-24-4-9-4,cifar10,0.4479,0.027165351608648136,0.3423910116302148,0.8066096901893616,69.0,0.024153199046850204,0.7196572422981262,2.910019417322592,gaussian,0.0
70,3-64-1-4-3-64-9-8,cifar10,0.5006,0.07443228128691853,0.4168232929171333,0.7438791394233704,70.0,0.04343465343117714,0.715493381023407,2.9149597740103927,gaussian,1.0
